Disease	Type
"Short Stature, Oligodontia, Dysmorphic Facies, and Motor Delay"	21
Alazami-Yuan Syndrome	21
Vitreoretinopathy with Phalangeal Epiphyseal Dysplasia	21
"Neurodevelopmental, Jaw, Eye, and Digital Syndrome"	21
Chromosome 10q23 Deletion Syndrome	21
Kury-Isidor Syndrome	21
"Mitochondrial Complex I Deficiency, Nuclear Type 28"	"21,23"
Alzheimer Disease Mitochondrial	21
Lopes-Maciel-Rodan Syndrome	21
"Muscular Dystrophy, Autosomal Recessive, with Cardiomyopathy and Triangular Tongue"	21
"Chorea, Childhood-Onset, with Psychomotor Retardation"	21
"Myopia, High, with Cataract and Vitreoretinal Degeneration"	21
Immunodeficiency 96	21
"Mitochondrial Complex I Deficiency, Nuclear Type 13"	"21,23"
Accelerated Tumor Formation	21
Autoinflammatory-Pancytopenia Syndrome	21
Inosine Triphosphatase Deficiency	21
"Microcephaly, Facial Dysmorphism, Renal Agenesis, and Ambiguous Genitalia Syndrome"	21
"Rod-Cone Dystrophy, Sensorineural Deafness, and Fanconi-Type Renal Dysfunction"	21
Protein Z Deficiency	21
"Mitochondrial Complex I Deficiency, Nuclear Type 11"	"21,23"
"Twinning, Dizygotic"	21
"Galloway-Mowat Syndrome 2, X-Linked"	21
"Developmental Delay, Hypotonia, Musculoskeletal Defects, and Behavioral Abnormalities"	21
"Mitochondrial Complex I Deficiency, Nuclear Type 31"	"21,23"
"Neurodevelopmental Disorder with Hypotonia, Facial Dysmorphism, and Brain Abnormalities"	21
Webb-Dattani Syndrome	21
Suleiman-El-Hattab Syndrome	21
"Coenzyme Q10 Deficiency, Primary, 9"	"21,23"
Hair Morphology 2	21
Leukodystrophy and Acquired Microcephaly with or Without Dystonia	21
"Neurodevelopmental Disorder with Hypotonia, Language Delay, and Skeletal Defects with or Without Seizures"	21
Combined Oxidative Phosphorylation Deficiency 51	"21,23"
"Arthrogryposis, Perthes Disease, and Upward Gaze Palsy"	21
Actn3 Deficiency	21
"Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans"	21
"Neurodevelopmental Disorder with Hypotonia, Impaired Speech, and Behavioral Abnormalities"	21
"Mitochondrial Complex I Deficiency, Nuclear Type 34"	"21,23"
Neurocardiofaciodigital Syndrome	21
Immunodeficiency 91 and Hyperinflammation	21
Neurodevelopmental Disorder with Dysmorphic Facies and Variable Seizures	21
Immunodeficiency 82 with Systemic Inflammation	21
"Alpha-Fetoprotein, Hereditary Persistence of"	"21,24"
Complement Component C1s Deficiency	21
Neurodevelopmental Disorder with Seizures and Gingival Overgrowth	21
N-Acetylaspartate Deficiency	21
Boudin-Mortier Syndrome	21
Rhizomelic Limb Shortening with Dysmorphic Features	21
"Mitochondrial Complex I Deficiency, Nuclear Type 37"	21
"Neurodevelopmental Disorder with Dysmorphic Facies, Sleep Disturbance, and Brain Abnormalities"	21
"Mitochondrial Complex I Deficiency, Nuclear Type 35"	"21,23"
Erythrocyte Amp Deaminase Deficiency	21
"Neurodegeneration, Childhood-Onset, with Multisystem Involvement Due to Mitochondrial Dysfunction"	21
"Leukodystrophy, Hypomyelinating, 23, with Ataxia, Deafness, Liver Dysfunction, and Dilated Cardiomyopathy"	21
Partial Trisomy Distal 4q	21
"Mitochondrial Complex Iv Deficiency, Nuclear Type 7"	21
Chitotriosidase Deficiency	21
Neurofacioskeletal Syndrome with or Without Renal Agenesis	21
Yoon-Bellen Neurodevelopmental Syndrome	21
"Hypertension, Early-Onset, Autosomal Dominant, with Severe Exacerbation in Pregnancy"	21
"Reducing Body Myopathy, X-Linked 1b, with Late Childhood or Adult Onset"	"21,24"
"Acetylation, Slow"	21
"Congenital Myopathy 22a, Classic"	21
"Tooth Agenesis, Selective, X-Linked, 1"	21
"Macrocephaly, Neurodevelopmental Delay, Lymphoid Hyperplasia, and Persistent Fetal Hemoglobin"	21
"Adenosine Triphosphate, Elevated, of Erythrocytes"	21
"Spondyloepimetaphyseal Dysplasia, Di Rocco Type"	21
"Leukodystrophy, Hypomyelinating, 26, with Chondrodysplasia"	21
"Neurodevelopmental Disorder with Hypotonia, Dysmorphic Facies, and Skin Abnormalities"	21
"Encephalopathy, Progressive, Early-Onset, with Episodic Rhabdomyolysis"	21
"Mitochondrial Complex Iii Deficiency, Nuclear Type 10"	21
Dworschak-Punetha Neurodevelopmental Syndrome	21
Combined Oxidative Phosphorylation Deficiency 41	"21,23"
"Gamma-Glutamylcysteine Synthetase Deficiency, Hemolytic Anemia Due to"	21
"Autoinflammatory Disease, Systemic, X-Linked"	21
"Polymicrogyria, Bilateral Perisylvian, Autosomal Recessive"	21
Neurodevelopmental Disorder with Neuromuscular and Skeletal Abnormalities	21
Chromosome 17p13.1 Deletion Syndrome	21
"Mitochondrial Complex Iv Deficiency, Nuclear Type 10"	21
Craniofacial Anomalies and Anterior Segment Dysgenesis Syndrome	21
"Neurodevelopmental Disorder with Gait Disturbance, Dysmorphic Facies, and Behavioral Abnormalities, X-Linked"	21
"Developmental Delay with Hypotonia, Myopathy, and Brain Abnormalities"	21
"Spondylometaphyseal Dysplasia, Pagnamenta Type"	21
"Mitochondrial Complex Iii Deficiency, Nuclear Type 9"	"21,23"
"Complement Component 4, Partial Deficiency of"	21
"Growth Restriction, Hypoplastic Kidneys, Alopecia, and Distinctive Facies"	21
Vertebral Hypersegmentation and Orofacial Anomalies	21
Digenic Disease	21
"Microcephaly, Cataracts, Impaired Intellectual Development, and Dystonia with Abnormal Striatum"	21
"Ophthalmoplegia, External, with Rib and Vertebral Anomalies"	21
Chromosome 2q31.2 Deletion Syndrome	21
"Glutathione Synthetase Deficiency of Erythrocytes, Hemolytic Anemia Due to"	21
Combined Oxidative Phosphorylation Deficiency 38	"21,23"
Okt4 Epitope Deficiency	21
Neurodevelopmental Disorder with Hypotonia and Gross Motor and Speech Delay	21
Alpha-Fetoprotein Deficiency	"21,24"
"Methylmalonic Aciduria, Transient, Due to Transcobalamin Receptor Defect"	21
"Facial Palsy, Congenital, with Ptosis and Velopharyngeal Dysfunction"	21
Bone Marrow Failure and Diabetes Mellitus Syndrome	21
Ifap Syndrome 2	21
"Striatonigral Degeneration, Infantile, Mitochondrial"	21
"Mitochondrial Complex V Deficiency, Nuclear Type 7"	21
"Leukoencephalopathy, Motor Delay, Spasticity, and Dysarthria Syndrome"	21
Autoimmune Disease 6	21
Oculopharyngeal Myopathy with Leukoencephalopathy 1	21
Transferrin Serum Level Quantitative Trait Locus 2	21
"Uric Acid Concentration, Serum, Quantitative Trait Locus 1"	21
Chromosome 15q25 Deletion Syndrome	21
"Cerebellar Dysfunction, Impaired Intellectual Development, and Hypogonadotropic Hypogonadism"	21
Hypermetabolism Due to Uncoupled Mitochondrial Oxidative Phosphorylation 2	21
Chromosome 22q13 Duplication Syndrome	21
"Camptosynpolydactyly, Complex"	21
"Sudden Cardiac Failure, Alcohol-Induced"	21
"Mitochondrial Complex Iv Deficiency, Nuclear Type 18"	21
"Skeletal Defects, Genital Hypoplasia, and Impaired Intellectual Development"	21
Ferguson-Bonni Neurodevelopmental Syndrome	21
"Mitochondrial Complex V Deficiency, Nuclear Type 4a"	21
"Myopathy, Sarcoplasmic Body"	21
"Exercise Intolerance, Riboflavin-Responsive"	21
Thyroxine-Binding Globulin Quantitative Trait Locus	21
Chromosome 2q31.1 Duplication Syndrome	21
Anonychia-Onychodystrophy with Brachydactyly Type B and Ectrodactyly	"21,24"
"Mitochondrial Complex Iii Deficiency, Nuclear Type 11"	21
"Increased Analgesia from Kappa-Opioid Receptor Agonist, Female-Specific"	21
"Rhizomelic Dysplasia, Ain-Naz Type"	21
"Eculizumab, Poor Response to"	21
"Corneal Dystrophy, Punctiform and Polychromatic Pre-Descemet"	21
"Mitochondrial Complex Iv Deficiency, Nuclear Type 23"	21
Fasting Plasma Glucose Level Quantitative Trait Locus 5	21
Hereditary Alpha Tryptasemia Syndrome	"21,24"
"Aarskog Syndrome, Autosomal Dominant"	21
"Glucocorticoid Therapy, Response to"	21
Plasma Triglyceride Level Quantitative Trait Locus	21
High Density Lipoprotein Cholesterol Level Quantitative Trait Locus 6	21
Glycerol Quantitative Trait Locus	21
Mitochondrial Trifunctional Protein Deficiency 2	21
C1q Deficiency 2	21
Low Density Lipoprotein Cholesterol Level Quantitative Trait Locus 6	21
"C3hex, Ability to Smell"	21
Beta-Glucopyranoside Tasting	21
C1q Deficiency 3	21
Chromosome 2p12-P11.2 Deletion Syndrome	21
Sodium Serum Level Quantitative Trait Locus 1	21
Recombination Rate Quantitative Trait Locus 1	21
Fucosyltransferase 6 Deficiency	21
Memory Quantitative Trait Locus	21
Combined Low Ldl and Fibrinogen	21
"Interleukin 6, Serum Level of, Quantitative Trait Locus"	21
"Soluble Interleukin-6 Receptor, Serum Level of, Quantitative Trait Locus"	21
"Aspartate Aminotransferase, Serum Level of, Quantitative Trait Locus 1"	21
"Impdh2 Enzyme Activity, Variation in"	21
Togaviridae Disease	"21,24"
Methylmalonic Aciduria and Homocystinuria Type Cble	"21,23"
Chromosome 16p12.1 Deletion Syndrome	21
Glutatione Synthetase Deficiency with 5-Oxoprolinuria	"21,23"
Rhizomelic Chondrodysplasia Punctate Type 4	21
Rare Genetic Disease with Myoclonus As a Major Feature	"21,24"
Argininemia	"21,23,24"
Carnitine Palmitoyltransferase I Deficiency	"21,23,24"
"Mitochondrial Complex Iv Deficiency, Nuclear Type 1"	"21,23"
Glucosephosphate Dehydrogenase Deficiency	"21,23"
Glucose Intolerance	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 20"	"21,23,24"
Lysosomal Storage Disease	"21,23"
"Mitochondrial Complex Ii Deficiency, Nuclear Type 1"	"21,23"
Xanthomatosis	"21,23"
Sialuria	"21,23,24"
Coumarin Resistance	"21,23,24"
Amino Acid Metabolic Disorder	"21,23"
Combined Oxidative Phosphorylation Deficiency 24	"21,23,24"
"Desmoid Disease, Hereditary"	21
"Mitochondrial Complex V Deficiency, Nuclear Type 1"	"21,23"
Apolipoprotein C-Ii Deficiency	21
Phosphoserine Aminotransferase Deficiency	"21,23"
"Mitochondrial Complex Iv Deficiency, Nuclear Type 2"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 16"	"21,23"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Turner Type"	"21,24"
Combined Oxidative Phosphorylation Deficiency 5	"21,23,24"
"Peripheral Neuropathy with Variable Spasticity, Exercise Intolerance, and Developmental Delay"	"21,23,24"
"Hypopigmentation, Organomegaly, and Delayed Myelination and Development"	"21,24"
Combined Oxidative Phosphorylation Deficiency 8	"21,23,24"
"Hyperthyroxinemia, Familial Dysalbuminemic"	21
"Factor V and Factor Viii, Combined Deficiency of, 1"	21
Cholesterol Ester Storage Disease	"21,23"
Combined Oxidative Phosphorylation Deficiency 2	"21,23,24"
5-Oxoprolinase Deficiency	"21,23,24"
Apolipoprotein C-Iii Deficiency	"21,23"
Steroid Inherited Metabolic Disorder	"21,23"
Corticosterone Methyloxidase Type Ii Deficiency	21
Metal Metabolism Disorder	"21,23"
Combined Oxidative Phosphorylation Deficiency 22	"21,23"
Serine Deficiency	"21,23"
Hypervalinemia and Hyperleucine-Isoleucinemia	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 10"	"21,23"
Spinal Muscular Atrophy with Congenital Bone Fractures 1	"21,24"
Fg Syndrome 2	"21,24"
"Pseudoxanthoma Elasticum, Forme Fruste"	"21,24"
"Mitochondrial Complex I Deficiency, Nuclear Type 17"	"21,23"
"Amelogenesis Imperfecta, Hypomaturation Type, Iia1"	"21,24"
"Congenital Disorder of Glycosylation, Type Iaa"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 7"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 19"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 6"	"21,23"
"Short Stature, Idiopathic, X-Linked"	21
"Mitochondrial Complex I Deficiency, Nuclear Type 29"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 15"	"21,23"
"Microcephaly, Short Stature, and Impaired Glucose Metabolism 2"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 12"	"21,23"
Combined Oxidative Phosphorylation Deficiency 47	"21,23"
"Mitochondrial Complex Iii Deficiency, Nuclear Type 7"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 22"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 18"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 9"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 26"	"21,23"
Combined Oxidative Phosphorylation Deficiency 36	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 8"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 32"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 25"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 14"	"21,23"
"Mitochondrial Complex Iii Deficiency, Nuclear Type 6"	"21,23"
Combined Oxidative Phosphorylation Deficiency 48	"21,23"
Nuclear Type Mitochondrial Complex I Deficiency	"21,23"
"Ataxia and Polyneuropathy, Adult-Onset"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 27"	"21,23"
"Mitochondrial Complex Iii Deficiency, Nuclear Type 3"	"21,23"
"Mitochondrial Complex I Deficiency, Nuclear Type 30"	"21,23"
Combined Oxidative Phosphorylation Deficiency 43	"21,23"
Extraoral Halitosis Due to Methanethiol Oxidase Deficiency	"21,23,24"
"Mitochondrial Complex I Deficiency, Nuclear Type 24"	"21,23"
Combined Oxidative Phosphorylation Deficiency 50	"21,23"
"Short Sleep, Familial Natural, 1"	21
Combined Oxidative Phosphorylation Deficiency 49	"21,23"
"X Inactivation, Familial Skewed, 1"	21
Uridine-Cytidineuria	"21,23"
Combined Oxidative Phosphorylation Deficiency 46	"21,23"
"Mitochondrial Complex I Deficiency, Mitochondrial Type 1"	"21,23"
Chromosome 4p Deletion	"21,24"
"Drug Metabolism, Altered, Ces1-Related"	"21,23"
"Advance Sleep Phase Syndrome, Familial, 4"	21
Homocystinuria-Megaloblastic Anemia Cble Type	"21,23"
Tetrahydrobiopterin -Deficient Hyperphenylalaninemia	"21,23"
Mitochondrial Type Mitochondrial Complex I Deficiency	"21,23"
Methylmalonic Aciduria and Homocystinuria Type Cblg	"21,23"
Adenylosuccinase Lyase Deficiency	"21,23"
Melioidosis	"21,22,24"
"Citrullinemia, Classic"	"21,23,24"
Lysinuric Protein Intolerance	"21,23,24"
Sudden Infant Death Syndrome	"21,23,24"
"Fructose-1,6-Bisphosphatase Deficiency"	"21,23,24"
Histidinemia	"21,23,24"
D-Glyceric Aciduria	"21,23,24"
"Hypoglycemia, Leucine-Induced"	"21,23,24"
Glucose Metabolism Disease	"21,23"
"Mitochondrial Complex V Deficiency, Nuclear Type 5"	"21,23,24"
Mitochondrial Metabolism Disease	"21,23"
"Myxoma, Intracardiac"	"21,24"
Combined Oxidative Phosphorylation Deficiency 40	"21,23,24"
Purine-Pyrimidine Metabolic Disorder	"21,23,24"
"Ventricular Tachycardia, Familial"	"21,24"
Eosinophil Peroxidase Deficiency	"21,24"
Combined Oxidative Phosphorylation Deficiency 28	"21,23,24"
Plasma Protein Metabolism Disease	"21,23"
Lactate Dehydrogenase B Deficiency	"21,23,24"
Methylmalonyl-Coa Epimerase Deficiency	"21,23,24"
"Defective Interfering Particle Induction, Control of"	22
Toxic Shock Syndrome	"22,24"
Schistosomiasis	"22,24"
Fungal Infectious Disease	22
Human Cytomegalovirus Infection	22
Ascaris Lumbricoides Infection	22
Blastomycosis	"22,24"
Trypanosomiasis	22
Nocardiosis	"22,24"
Long Covid	22
Newcastle Disease	22
Lepromatous Leprosy	22
Multidrug-Resistant Tuberculosis	22
West Nile Fever	22
Critical Covid-19	22
Plasmodium Vivax Malaria	22
Dengue Shock Syndrome	22
Tuberculoid Leprosy	22
Lemierre's Syndrome	"22,24"
Opportunistic Mycosis	22
Non-Severe Covid-19	22
Tertiary Syphilis	22
Tick-Borne Relapsing Fever	22
Mite Infestation	22
Bartonellosis	22
Lice Infestation	22
Pediculus Humanus Capitis Infestation	22
Parasitic Ectoparasitic Infectious Disease	22
Pasteurellosis	22
Sodoku Disease	22
Latent Syphilis	22
Phlebotomus Fever	22
Louse-Borne Relapsing Fever	22
Ascaridiasis	22
Hymenolepiasis	"22,24"
Bacillary Angiomatosis	22
Geotrichosis	22
Human Granulocytic Anaplasmosis	"22,24"
Scedosporiosis	"22,24"
Tetanus Neonatorum	22
Borderline Leprosy	22
Theileriasis	22
Lujo Hemorrhagic Fever	"22,24"
Aleutian Mink Disease	22
Conidiobolomycosis	22
Trichosporonosis	22
Human Monocytic Ehrlichiosis	"22,24"
White Piedra	22
Plasmodium Ovale Malaria	22
Bolivian Hemorrhagic Fever	"22,24"
Rhinosporidiosis	22
Necrotizing Soft Tissue Infection	"22,24"
Encephalitozoonosis	22
Necatoriasis	22
Trichostrongylosis	22
Tinea Nigra	22
Streptococcal Toxic-Shock Syndrome	"22,24"
African Tick-Bite Fever	22
Indeterminate Leprosy	22
Japanese Spotted Fever	22
Siberian Tick Typhus	22
American Histoplasmosis	22
Gummatous Syphilis	22
Trombiculiasis	22
Pediculus Humanus Corporis Infestation	22
Aneruptive Fever	22
Brazilian Hemorrhagic Fever	"22,24"
Queensland Tick Typhus	22
Human Coronavirus Sensitivity	22
Mixed Malaria	22
Toxascariasis	22
Staphylococcal Toxic-Shock Syndrome	"22,24"
Rickettsial Disease	"22,24"
Ulceroglandular Tularemia	22
Tuberculous Encephalopathy	22
Setariasis	22
Black Piedra	22
Acanthocephaliasis	22
Flinders Island Spotted Fever	22
Typhoidal Tularemia	22
Israeli Tick Typhus	22
Oculoglandular Tularemia	22
Indian Tick Typhus	22
Alkhurma Hemorrhagic Fever	22
Far Eastern Spotted Fever	22
Ostertagiasis	22
Monieziasis	22
Asymptomatic Dengue	22
Trichostrongyloidiasis	22
Astrakhan Spotted Fever	22
Rare Mycosis	"22,24"
Mesocestoidiasis	22
Spirillary Rat-Bite Fever	"22,24"
Haemonchiasis	22
Injection Anthrax	22
Ureter Tuberculosis	22
Allescheriosis	22
Brucella Abortus Brucellosis	22
Spirochetes Disease	"22,24"
Brucella Melitensis Brucellosis	22
Chapare Hemorrhagic Fever	"22,24"
Rickettsia Parkeri Spotted Fever	22
Brucella Canis Brucellosis	22
Parasitic Ichthyosporea Infectious Disease	22
Human Infection by Orthopoxvirus	"22,24"
Bordetella Parapertussis Whooping Cough	22
Screw Worm Infectious Disease	22
Brucella Suis Brucellosis	22
Whitewater Arroyo Hemorrhagic Fever	22
Arbovirus Fever	"22,24"
Pseudotyphus of California	"22,24"
Acinetobacter Infectious Disease	22
Arenaviridae Infectious Disease	22
Relapsing Epidemic Typhus	"22,24"
Endothrix Infectious Disease	22
Ectothrix Infectious Disease	22
Leptospirosis	"22,24"
Brucellosis	"22,24"
Leishmaniasis	"22,24"
Viral Infectious Disease	22
Chagas Disease	"22,24"
Coccidioidomycosis	"22,24"
Diphtheria	"22,24"
Scrub Typhus	"22,24"
Zika Fever	"22,24"
Bacterial Infectious Disease	22
Relapsing Fever	"22,24"
Epidemic Typhus	"22,24"
Sporotrichosis	"22,24"
Bacterial Sepsis	22
Venezuelan Equine Encephalitis	"22,24"
Haemophilus Influenzae	"22,24"
Argentine Hemorrhagic Fever	"22,24"
Boutonneuse Fever	"22,24"
Carrion's Disease	"22,24"
Endemic Typhus	"22,24"
Viral Hemorrhagic Fever	"22,24"
Haverhill Fever	"22,24"
Primary Bacterial Infectious Disease	22
Brill-Zinsser Disease	"22,24"
Commensal Bacterial Infectious Disease	22
Oropouche Fever	22
Rickettsialpox	"22,24"
Sennetsu Fever	"22,24"
Pythiosis	"22,24"
Staphylococcal Scarlet Fever	"22,24"
